NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,SEXE
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
207,4,1
225,4,1
225,4,2
125,4,1
56,4,1
12,3,1
12,3,2
181,4,1
181,4,2
135,1,1
135,1,2
195,1,2
219,1,1
219,1,2
37,2,2
59,2,1
140,2,1
140,2,2
45,2,1
47,2,1
47,2,2
79,2,1
79,2,2
86,2,1
86,2,2
152,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,2
101,3,1
101,3,2
161,3,1
161,3,2
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
88,4,1
105,4,2
108,4,1
108,4,2
156,4,1
160,4,1
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
206,4,1
225,4,1
225,4,2
21,4,1
70,3,1
70,3,2
12,3,2
181,4,1
181,4,2
82,1,2
135,1,1
135,1,2
203,1,2
195,1,1
219,1,2
59,2,1
59,2,2
140,2,1
140,2,2
52,2,1
52,2,2
86,2,1
86,2,2
152,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,2
54,2,1
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
101,3,1
101,3,2
151,3,1
151,3,2
161,3,2
3,4,1
22,4,1
22,4,2
58,4,1
58,4,2
67,4,1
67,4,2
108,4,1
108,4,2
156,4,1
160,4,1
160,4,2
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
179,4,1
179,4,2
206,4,1
207,4,1
207,4,2
225,4,1
225,4,2
70,3,1
70,3,2
56,4,1
12,3,1
12,3,2
181,4,1
181,4,2
36,1,1
51,1,2
69,1,2
135,1,1
135,1,2
195,1,1
59,2,1
59,2,2
140,2,2
47,2,2
86,2,1
86,2,2
152,2,1
164,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
39,2,1
39,2,2
233,2,1
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
101,3,2
103,3,1
103,3,2
110,3,2
161,3,1
161,3,2
43,3,2
16,3,1
16,3,2
115,3,1
163,3,1
999,999,1
58,4,1
58,4,2
66,4,1
66,4,2
67,4,1
67,4,2
108,4,1
108,4,2
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,2
4,4,1
179,4,1
179,4,2
225,4,1
70,3,1
125,4,1
181,4,1
135,1,2
37,2,1
59,2,2
140,2,1
140,2,2
86,2,1
86,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
230,2,1
230,2,2
1,3,2
234,3,1
234,3,2
101,3,1
101,3,2
161,3,1
161,3,2
200,3,2
999,999,2
3,4,1
3,4,2
32,4,1
32,4,2
58,4,1
58,4,2
66,4,2
67,4,1
67,4,2
73,4,2
105,4,2
108,4,1
108,4,2
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
4,4,2
179,4,1
179,4,2
206,4,2
207,4,1
225,4,1
225,4,2
143,4,2
70,3,1
70,3,2
12,3,1
12,3,2
181,4,1
181,4,2
36,1,1
36,1,2
69,1,2
135,1,1
135,1,2
154,1,2
195,1,1
47,2,1
47,2,2
85,2,1
86,2,1
86,2,2
152,2,1
152,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
54,2,2
166,2,2
167,2,1
167,2,2
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
101,3,1
101,3,2
103,3,2
110,3,1
161,3,1
161,3,2
211,3,1
113,3,1
22,4,2
32,4,1
58,4,1
58,4,2
66,4,1
67,4,2
73,4,2
105,4,2
108,4,1
108,4,2
160,4,1
170,4,1
171,4,1
171,4,2
174,4,2
4,4,1
4,4,2
179,4,1
225,4,1
225,4,2
70,3,1
70,3,2
125,4,1
125,4,2
12,3,1
12,3,2
181,4,1
181,4,2
196,4,2
5,1,1
5,1,2
36,1,2
135,1,1
135,1,2
154,1,2
195,1,1
195,1,2
59,2,1
140,2,1
47,2,2
86,2,1
86,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,2
166,2,1
167,2,1
167,2,2
230,2,1
230,2,2
234,3,1
234,3,2
101,3,1
101,3,2
161,3,1
161,3,2
221,3,1
16,3,1
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
105,4,2
108,4,1
108,4,2
160,4,1
160,4,2
171,4,1
171,4,2
174,4,2
179,4,1
179,4,2
206,4,1
206,4,2
225,4,1
225,4,2
224,4,2
181,4,1
38,1,1
51,1,2
83,1,1
83,1,2
135,1,1
195,1,1
195,1,2
219,1,1
37,2,1
140,2,2
45,2,1
47,2,2
52,2,1
86,2,2
177,2,1
177,2,2
11,2,1
27,2,1
27,2,2
30,2,1
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
103,3,1
130,3,1
151,3,1
151,3,2
161,3,2
221,3,2
3,4,1
3,4,2
22,4,2
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
108,4,1
108,4,2
160,4,1
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
120,4,1
120,4,2
70,3,1
70,3,2
125,4,2
28,4,1
46,4,1
181,4,1
181,4,2
5,1,2
123,1,2
135,1,1
135,1,2
219,1,1
59,2,1
140,2,2
47,2,2
52,2,1
86,2,1
86,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
166,2,1
166,2,2
167,2,1
167,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
101,3,2
102,3,2
103,3,1
110,3,1
110,3,2
161,3,2
200,3,1
14,5,1
3,4,2
15,4,1
15,4,2
22,4,1
58,4,1
58,4,2
66,4,1
67,4,1
67,4,2
88,4,2
108,4,1
108,4,2
160,4,1
170,4,1
171,4,1
171,4,2
6,4,1
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
225,4,1
70,3,1
70,3,2
12,3,1
12,3,2
181,4,1
181,4,2
38,1,2
135,1,1
135,1,2
140,2,1
47,2,1
47,2,2
79,2,2
86,2,1
86,2,2
152,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,2
39,2,1
39,2,2
233,2,1
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
110,3,1
161,3,2
200,3,1
211,3,1
22,4,1
58,4,1
58,4,2
67,4,1
67,4,2
108,4,1
108,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,2
225,4,1
225,4,2
70,3,1
70,3,2
28,4,1
181,4,1
135,1,1
135,1,2
195,1,1
195,1,2
219,1,2
37,2,1
59,2,1
59,2,2
140,2,1
140,2,2
47,2,1
86,2,1
86,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
54,2,2
167,2,1
167,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
103,3,1
103,3,2
110,3,1
110,3,2
161,3,1
161,3,2
43,3,2
200,3,1
200,3,2
3,4,2
32,4,1
32,4,2
235,3,1
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
88,4,1
108,4,1
108,4,2
160,4,1
160,4,2
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
207,4,1
225,4,1
225,4,2
120,4,1
21,4,1
12,3,1
12,3,2
181,4,1
181,4,2
196,4,1
5,1,1
5,1,2
69,1,1
69,1,2
71,1,2
83,1,2
123,1,2
133,1,2
135,1,1
135,1,2
195,1,1
195,1,2
37,2,1
59,2,1
59,2,2
140,2,1
45,2,2
47,2,1
47,2,2
86,2,1
86,2,2
152,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
121,3,2
161,3,1
161,3,2
32,4,1
48,4,1
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
73,4,2
105,4,2
108,4,1
108,4,2
170,4,1
171,4,2
174,4,1
174,4,2
179,4,1
179,4,2
206,4,1
206,4,2
60,4,1
125,4,1
56,4,1
28,4,1
181,4,1
181,4,2
5,1,1
81,1,1
129,1,1
135,1,1
135,1,2
213,1,1
219,1,2
37,2,2
59,2,1
59,2,2
140,2,1
47,2,1
47,2,2
86,2,1
86,2,2
152,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
54,2,1
54,2,2
166,2,1
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
1,3,2
234,3,1
234,3,2
101,3,1
101,3,2
102,3,1
103,3,1
103,3,2
161,3,1
161,3,2
43,3,1
200,3,2
221,3,2
163,3,2
999,999,1
3,4,2
15,4,1
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
73,4,2
88,4,2
108,4,1
108,4,2
160,4,1
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
206,4,2
207,4,2
225,4,1
225,4,2
120,4,2
143,4,1
143,4,2
70,3,1
70,3,2
56,4,1
46,4,2
12,3,1
12,3,2
181,4,1
181,4,2
196,4,2
5,1,2
38,1,2
36,1,2
44,1,2
51,1,2
69,1,2
133,1,2
135,1,1
135,1,2
154,1,2
195,1,2
219,1,1
219,1,2
59,2,1
59,2,2
140,2,1
47,2,1
47,2,2
79,2,2
86,2,1
86,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,2
101,3,1
110,3,1
110,3,2
161,3,1
161,3,2
43,3,1
211,3,1
221,3,1
221,3,2
14,5,1
22,4,1
32,4,2
235,3,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
73,4,2
88,4,1
88,4,2
105,4,2
106,4,1
106,4,2
108,4,1
108,4,2
134,4,2
160,4,1
160,4,2
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,2
206,4,1
207,4,2
225,4,1
225,4,2
120,4,1
120,4,2
21,4,1
70,3,2
46,4,1
12,3,1
12,3,2
181,4,1
181,4,2
82,1,2
135,1,1
135,1,2
195,1,2
219,1,2
37,2,1
140,2,1
140,2,2
47,2,1
47,2,2
52,2,1
52,2,2
86,2,1
86,2,2
164,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
101,3,1
103,3,2
110,3,2
121,3,1
161,3,1
161,3,2
221,3,1
113,3,1
999,999,2
3,4,1
3,4,2
15,4,1
22,4,1
22,4,2
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,2
88,4,1
108,4,1
108,4,2
156,4,1
160,4,1
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
225,4,1
225,4,2
120,4,1
70,3,1
70,3,2
181,4,1
181,4,2
196,4,1
51,1,1
51,1,2
135,1,1
135,1,2
195,1,1
195,1,2
59,2,2
140,2,1
47,2,1
47,2,2
52,2,2
86,2,1
86,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
103,3,1
107,3,1
107,3,2
151,3,1
151,3,2
161,3,1
161,3,2
15,4,2
22,4,1
22,4,2
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,2
88,4,1
88,4,2
105,4,2
108,4,1
108,4,2
170,4,1
170,4,2
171,4,1
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
225,4,1
60,4,2
125,4,2
181,4,1
181,4,2
5,1,2
135,1,1
135,1,2
195,1,2
37,2,1
59,2,1
140,2,1
47,2,1
47,2,2
50,2,2
52,2,2
79,2,1
86,2,1
86,2,2
177,2,1
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
230,2,1
230,2,2
234,3,1
234,3,2
161,3,1
161,3,2
200,3,1
231,3,1
231,3,2
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,2
105,4,2
108,4,1
108,4,2
160,4,1
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
206,4,1
21,4,1
70,3,1
70,3,2
28,4,1
46,4,1
181,4,1
135,1,1
135,1,2
37,2,1
59,2,1
140,2,1
140,2,2
47,2,1
47,2,2
52,2,1
52,2,2
79,2,1
79,2,2
86,2,1
86,2,2
152,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
167,2,1
167,2,2
227,2,2
230,2,1
230,2,2
19,3,1
19,3,2
234,3,1
234,3,2
101,3,1
101,3,2
107,3,2
112,3,1
112,3,2
161,3,2
211,3,1
32,4,1
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
73,4,2
88,4,1
88,4,2
105,4,2
108,4,1
108,4,2
160,4,1
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
179,4,2
207,4,2
225,4,1
225,4,2
70,3,1
70,3,2
60,4,1
56,4,1
56,4,2
46,4,1
46,4,2
12,3,1
12,3,2
181,4,1
181,4,2
196,4,2
51,1,1
51,1,2
69,1,2
135,1,1
135,1,2
195,1,1
195,1,2
205,1,1
205,1,2
59,2,1
59,2,2
140,2,1
140,2,2
47,2,1
47,2,2
85,2,1
86,2,1
86,2,2
152,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
101,3,2
107,3,1
110,3,2
151,3,1
151,3,2
161,3,2
221,3,1
221,3,2
228,3,1
228,3,2
3,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
88,4,1
88,4,2
108,4,1
108,4,2
160,4,1
160,4,2
171,4,1
171,4,2
6,4,2
4,4,1
4,4,2
179,4,1
206,4,1
206,4,2
207,4,1
225,4,2
70,3,1
70,3,2
60,4,1
12,3,1
12,3,2
5,1,2
69,1,2
135,1,2
195,1,2
59,2,1
140,2,1
140,2,2
86,2,1
86,2,2
11,2,1
11,2,2
27,2,1
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
167,2,1
167,2,2
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
110,3,1
110,3,2
161,3,2
3,4,2
32,4,1
58,4,1
58,4,2
66,4,1
67,4,1
67,4,2
73,4,1
73,4,2
88,4,1
105,4,2
108,4,1
108,4,2
134,4,1
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
206,4,1
206,4,2
207,4,1
225,4,1
225,4,2
21,4,1
46,4,1
57,4,1
181,4,1
181,4,2
196,4,2
5,1,1
5,1,2
51,1,2
69,1,2
83,1,2
135,1,1
135,1,2
219,1,2
37,2,1
59,2,1
59,2,2
140,2,1
140,2,2
47,2,1
47,2,2
86,2,1
86,2,2
152,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
101,3,2
110,3,2
112,3,2
151,3,1
151,3,2
221,3,1
221,3,2
14,5,2
3,4,1
15,4,2
22,4,1
22,4,2
32,4,1
32,4,2
235,3,1
58,4,1
58,4,2
66,4,1
67,4,1
67,4,2
73,4,1
88,4,2
105,4,1
108,4,1
108,4,2
156,4,1
156,4,2
160,4,2
170,4,1
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
225,4,1
70,3,1
70,3,2
125,4,1
46,4,2
181,4,1
181,4,2
5,1,1
5,1,2
51,1,1
51,1,2
135,1,1
135,1,2
142,1,2
195,1,2
37,2,2
59,2,1
59,2,2
140,2,1
140,2,2
47,2,1
47,2,2
52,2,2
86,2,1
86,2,2
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
19,3,1
19,3,2
234,3,1
234,3,2
65,3,1
101,3,1
101,3,2
103,3,1
103,3,2
161,3,1
161,3,2
43,3,1
221,3,1
221,3,2
231,3,2
15,4,1
22,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
73,4,2
105,4,2
108,4,1
108,4,2
156,4,2
160,4,1
170,4,1
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
206,4,2
207,4,1
207,4,2
225,4,1
225,4,2
70,3,1
224,4,1
56,4,2
46,4,1
181,4,1
181,4,2
5,1,2
51,1,2
114,1,1
114,1,2
135,1,1
135,1,2
195,1,2
59,2,1
59,2,2
140,2,1
140,2,2
45,2,1
45,2,2
47,2,1
47,2,2
52,2,1
52,2,2
86,2,1
86,2,2
152,2,1
152,2,2
164,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
230,2,1
230,2,2
19,3,1
19,3,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
101,3,2
110,3,1
110,3,2
112,3,1
161,3,1
161,3,2
221,3,1
221,3,2
999,999,1
22,4,2
32,4,1
58,4,1
58,4,2
67,4,1
67,4,2
88,4,1
108,4,1
108,4,2
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
6,4,1
174,4,1
174,4,2
4,4,1
4,4,2
206,4,1
206,4,2
225,4,1
225,4,2
181,4,1
181,4,2
128,4,2
5,1,1
135,1,1
135,1,2
195,1,2
59,2,2
47,2,1
47,2,2
177,2,1
11,2,1
11,2,2
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,2
166,2,1
166,2,2
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
65,3,1
101,3,2
103,3,1
103,3,2
107,3,2
117,3,2
161,3,2
200,3,1
211,3,2
221,3,1
221,3,2
14,5,1
15,4,1
15,4,2
22,4,2
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
108,4,1
108,4,2
156,4,1
156,4,2
160,4,1
170,4,1
170,4,2
171,4,1
171,4,2
6,4,1
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
206,4,1
206,4,2
225,4,1
70,3,1
70,3,2
56,4,2
57,4,2
12,3,1
12,3,2
181,4,1
181,4,2
5,1,1
51,1,2
69,1,2
135,1,1
135,1,2
37,2,2
59,2,1
59,2,2
140,2,1
140,2,2
47,2,1
47,2,2
52,2,1
79,2,1
79,2,2
86,2,1
86,2,2
152,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
19,3,1
19,3,2
234,3,1
234,3,2
110,3,1
110,3,2
121,3,2
151,3,1
161,3,1
161,3,2
221,3,1
221,3,2
22,4,2
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
88,4,2
105,4,2
108,4,1
108,4,2
156,4,1
160,4,1
160,4,2
170,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
206,4,1
225,4,1
225,4,2
70,3,2
56,4,1
181,4,1
181,4,2
135,1,1
135,1,2
153,1,2
195,1,1
195,1,2
59,2,1
59,2,2
140,2,1
45,2,1
45,2,2
47,2,2
79,2,1
85,2,1
86,2,1
86,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
167,2,1
167,2,2
230,2,1
230,2,2
234,3,1
234,3,2
101,3,1
151,3,1
151,3,2
161,3,1
161,3,2
221,3,2
999,999,1
15,4,2
48,4,1
48,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
88,4,1
88,4,2
105,4,2
108,4,1
108,4,2
160,4,1
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
207,4,2
225,4,1
225,4,2
21,4,1
21,4,2
70,3,1
70,3,2
224,4,1
181,4,1
181,4,2
196,4,1
33,1,2
51,1,1
69,1,2
135,1,1
135,1,2
195,1,2
219,1,1
140,2,1
140,2,2
47,2,1
52,2,2
86,2,1
86,2,2
152,2,1
164,2,1
164,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
166,2,1
167,2,1
167,2,2
227,2,2
230,2,1
230,2,2
19,3,1
19,3,2
234,3,1
234,3,2
65,3,2
101,3,2
161,3,1
161,3,2
43,3,1
43,3,2
221,3,1
221,3,2
22,4,1
22,4,2
32,4,1
58,4,1
58,4,2
66,4,2
67,4,1
67,4,2
73,4,1
73,4,2
105,4,2
108,4,1
108,4,2
156,4,2
160,4,1
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
6,4,1
6,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
206,4,1
206,4,2
225,4,1
225,4,2
120,4,1
143,4,1
143,4,2
70,3,1
70,3,2
125,4,1
125,4,2
46,4,1
12,3,2
181,4,1
181,4,2
5,1,2
83,1,2
123,1,1
123,1,2
135,1,1
135,1,2
203,1,1
195,1,2
37,2,1
59,2,1
59,2,2
140,2,1
140,2,2
45,2,2
47,2,2
79,2,1
86,2,1
86,2,2
164,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,2
54,2,1
54,2,2
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
19,3,1
19,3,2
234,3,1
234,3,2
65,3,1
101,3,1
101,3,2
121,3,2
221,3,1
221,3,2
14,5,1
3,4,1
3,4,2
22,4,1
22,4,2
32,4,1
32,4,2
58,4,1
58,4,2
67,4,1
67,4,2
73,4,1
73,4,2
108,4,1
108,4,2
160,4,1
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
179,4,2
225,4,1
225,4,2
224,4,2
46,4,2
12,3,1
12,3,2
196,4,1
5,1,2
51,1,2
69,1,2
135,1,1
135,1,2
219,1,2
37,2,1
59,2,1
59,2,2
140,2,1
140,2,2
45,2,2
47,2,1
47,2,2
52,2,1
86,2,1
86,2,2
164,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
30,2,1
30,2,2
39,2,1
39,2,2
233,2,2
54,2,2
166,2,1
167,2,1
167,2,2
227,2,1
230,2,1
230,2,2
1,3,1
1,3,2
19,3,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
110,3,1
110,3,2
161,3,1
161,3,2
221,3,1
221,3,2
163,3,1
163,3,2
22,4,1
22,4,2
32,4,1
235,3,2
58,4,1
58,4,2
66,4,1
67,4,1
67,4,2
88,4,2
106,4,2
108,4,1
108,4,2
160,4,1
160,4,2
170,4,1
170,4,2
171,4,1
171,4,2
174,4,1
174,4,2
4,4,1
4,4,2
179,4,2
207,4,1
207,4,2
225,4,1
225,4,2
70,3,1
70,3,2
224,4,1
56,4,2
46,4,1
46,4,2
12,3,2
181,4,1
181,4,2
44,1,1
51,1,1
133,1,2
135,1,1
135,1,2
219,1,2
37,2,1
37,2,2
59,2,1
59,2,2
140,2,2
47,2,1
52,2,1
86,2,1
86,2,2
164,2,1
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
166,2,1
166,2,2
167,2,1
167,2,2
227,2,1
230,2,1
230,2,2
19,3,1
19,3,2
234,3,1
234,3,2
65,3,1
65,3,2
101,3,1
101,3,2
104,3,1
103,3,1
103,3,2
110,3,1
110,3,2
121,3,1
121,3,2
161,3,1
161,3,2
221,3,1
113,3,2
14,5,1
3,4,1
15,4,1
22,4,1
22,4,2
48,4,1
58,4,1
58,4,2
66,4,2
67,4,1
67,4,2
73,4,1
88,4,2
105,4,1
105,4,2
108,4,1
108,4,2
156,4,1
160,4,1
160,4,2
170,4,1
170,4,2
171,4,1
174,4,1
174,4,2
4,4,1
4,4,2
179,4,1
206,4,1
206,4,2
207,4,2
225,4,1
225,4,2
120,4,1
120,4,2
70,3,1
70,3,2
224,4,1
56,4,2
46,4,2
181,4,1
181,4,2
196,4,1
5,1,2
51,1,2
82,1,1
123,1,2
135,1,1
135,1,2
195,1,2
219,1,1
59,2,1
59,2,2
140,2,1
140,2,2
45,2,1
47,2,1
47,2,2
52,2,2
86,2,1
164,2,1
164,2,2
177,2,1
177,2,2
11,2,1
11,2,2
27,2,1
27,2,2
30,2,1
30,2,2
39,2,1
39,2,2
233,2,1
233,2,2
54,2,1
54,2,2
167,2,1
167,2,2
227,2,1
227,2,2
230,2,1
230,2,2
234,3,1
234,3,2
101,3,1
101,3,2
102,3,1
107,3,2
110,3,1
130,3,1
161,3,2
43,3,2
199,3,1
221,3,1
